"kappa","alpha_t","Fidelity"
12.,0.75,0.8850423875579178
12.,0.76,0.883902032500629
12.,0.77,0.8827798823341395
12.,0.78,0.8816757235725189
12.,0.79,0.8805893401255405
12.,0.8,0.8795205137273274
12.,0.81,0.8784690243343445
12.,0.8200000000000001,0.8774346504946672
12.,0.8300000000000001,0.8764171696903519
12.,0.84,0.8754163586546077
12.,0.85,0.8744319936653755
12.,0.86,0.8734638508168172
12.,0.87,0.8725117062701254
12.,0.88,0.8715753364849799
12.,0.89,0.870654518432892
12.,0.9,0.8697490297936069
12.,0.91,0.8688586491356562
12.,0.92,0.8679831560820898
12.,0.93,0.86712233146235
12.,0.9400000000000001,0.8662759574511961
12.,0.9500000000000001,0.865443817695523
12.,0.96,0.8646256974298758
12.,0.97,0.8638213835814033
12.,0.98,0.8630306648649544
12.,0.99,0.8622533318689722
12.,1.,0.8614891771328054
12.,1.01,0.8607379952160112
12.,1.02,0.8599995827601972
12.,1.03,0.8592737385439053
12.,1.04,0.8585602635310189
12.,1.05,0.8578589609131372
12.,1.06,0.8571696361463376
12.,1.07,0.8564920969827172
12.,1.08,0.8558261534970837
12.,1.09,0.8551716181091366
12.,1.1,0.8545283056014665
12.,1.11,0.8538960331336723
12.,1.12,0.8532746202528798
12.,1.1300000000000001,0.8526638889009283
12.,1.1400000000000001,0.8520636634184728
12.,1.1500000000000001,0.851473770546237
12.,1.16,0.8508940394236295
12.,1.17,0.8503243015849349
12.,1.18,0.8497643909532625
12.,1.19,0.8492141438324383
12.,1.2,0.8486733988970017
12.,1.21,0.8481419971804656
12.,1.22,0.8476197820619871
12.,1.23,0.8471065992515809
12.,1.24,0.8466022967740091
12.,1.25,0.8461067249514589
12.,1.26,0.8456197363851268
12.,1.27,0.8451411859358082
12.,1.28,0.8446709307035911
12.,1.29,0.8442088300067436
12.,1.3,0.8437547453598806
12.,1.31,0.8433085404514871
12.,1.32,0.8428700811208711
12.,1.33,0.8424392353346162
12.,1.34,0.8420158731625946
12.,1.35,0.8415998667536024
12.,1.36,0.841191090310669
12.,1.37,0.8407894200660951
12.,1.3800000000000001,0.8403947342562632
12.,1.3900000000000001,0.8400069130962678
12.,1.4000000000000001,0.8396258387544034
12.,1.41,0.8392513953265498
12.,1.42,0.8388834688104891
12.,1.43,0.8385219470801872
12.,1.44,0.838166719860069
12.,1.45,0.8378176786993152
12.,1.46,0.8374747169462073
12.,1.47,0.837137729722542
12.,1.48,0.8368066138981396
12.,1.49,0.8364812680654626
12.,1.5,0.8361615925143671
12.,1.51,0.8358474892069987
12.,1.52,0.8355388617528527
12.,1.53,0.8352356153840099
12.,1.54,0.8349376569305604
12.,1.55,0.8346448947962288
12.,1.56,0.8343572389342095
12.,1.57,0.8340746008232224
12.,1.58,0.8337968934437957
12.,1.59,0.8335240312547869
12.,1.6,0.8332559301701437
12.,1.61,0.8329925075359159
12.,1.62,0.8327336821075191
12.,1.6300000000000001,0.8324793740272577
12.,1.6400000000000001,0.8322295048021093
12.,1.6500000000000001,0.8319839972817755
12.,1.6600000000000001,0.8317427756369999
12.,1.67,0.8315057653381575
12.,1.68,0.8312728931341151
12.,1.69,0.8310440870313685
12.,1.7,0.83081927627345
12.,1.71,0.8305983913206159
12.,1.72,0.8303813638298063
12.,1.73,0.8301681266348822
12.,1.74,0.8299586137271381
12.,1.75,0.8297527602360885
12.,1.76,0.8295505024105292
12.,1.77,0.8293517775998714
12.,1.78,0.8291565242357473
12.,1.79,0.8289646818138855
12.,1.8,0.8287761908762568
12.,1.81,0.8285909929934845
12.,1.82,0.8284090307475211
12.,1.83,0.8282302477145882
12.,1.84,0.8280545884483752
12.,1.85,0.8278819984634987
12.,1.86,0.8277124242192166
12.,1.87,0.8275458131033959
