"eta_over_alpha","t","Fidelity"
0.,3.6,0.6519929589857452
0.,3.61,0.648864138969289
0.,3.62,0.6456915289483955
0.,3.63,0.6424766131611068
0.,3.64,0.6392208853223064
0.,3.65,0.6359258479804761
0.,3.66,0.6325930118741412
0.,3.67,0.629223895288254
0.,3.68,0.6258200234107782
0.,3.69,0.6223829276897282
0.,3.7,0.6189141451909157
0.,3.71,0.6154152179566617
0.,3.72,0.6118876923657157
0.,3.73,0.6083331184946448
0.,3.74,0.6047530494809242
0.,3.75,0.6011490408879905
0.,3.7600000000000002,0.5975226500724873
0.,3.77,0.5938754355539573
0.,3.7800000000000002,0.5902089563872088
0.,3.79,0.5865247715376025
0.,3.8000000000000003,0.5828244392594889
0.,3.81,0.5791095164780279
0.,3.8200000000000003,0.5753815581746241
0.,3.83,0.5716421167762018
0.,3.84,0.567892741548545
0.,3.85,0.5641349779939239
0.,3.86,0.56037036725323
0.,3.87,0.5566004455128294
0.,3.88,0.5528267434163534
0.,3.89,0.5490507854816358
0.,3.9,0.5452740895229979
0.,3.91,0.5414981660790937
0.,3.92,0.5377245178465107
0.,3.93,0.5339546391193216
0.,3.94,0.5301900152347893
0.,3.95,0.5264321220254031
0.,3.96,0.5226824252774482
0.,3.97,0.5189423801962753
0.,3.98,0.5152134308784669
0.,3.99,0.5114970097910624
0.,4.,0.5077945372580248
0.,4.01,0.50410742095411
0.,4.0200000000000005,0.5004370554063097
0.,4.03,0.4967848215030284
0.,4.04,0.49315208601114335
0.,4.05,0.4895402011011158
0.,4.0600000000000005,0.4859505038802882
0.,4.07,0.48238431593452336
0.,4.08,0.4788429428783197
0.,4.09,0.4753276739135434
0.,4.1,0.4718397813969112
0.,4.11,0.46838052041634914
0.,4.12,0.46495112837635866
0.,4.13,0.4615528245924976
0.,4.14,0.4581868098951124
0.,4.15,0.45485426624241065
0.,4.16,0.4515563563430043
0.,4.17,0.4482942232880054
0.,4.18,0.445068990192791
0.,4.19,0.4418817598485222
0.,4.2,0.4387336143835111
0.,4.21,0.4356256149345205
0.,4.22,0.43255880132807756
0.,4.23,0.42953419177188107
0.,4.24,0.42655278255637347
0.,4.25,0.42361554776654387
0.,4.26,0.42072343900403036
0.,4.2700000000000005,0.4178773851195787
0.,4.28,0.41507829195591195
0.,4.29,0.41232704210106164
0.,4.3,0.4096244946522102
0.,4.3100000000000005,0.4069714849900812
0.,4.32,0.40436882456391954
0.,4.33,0.4018173006870908
0.,4.34,0.3993176763433301
0.,4.3500000000000005,0.3968706900036654
0.,4.36,0.3944770554540344
0.,4.37,0.3921374616336093
0.,4.38,0.38985257248384036
0.,4.39,0.3876230268082308
0.,4.4,0.38544943814283367
0.,4.41,0.38333239463748453
0.,4.42,0.38127245894774686
0.,4.43,0.37927016813757425
0.,4.44,0.37732603359266637
0.,4.45,0.37544054094450313
0.,4.46,0.37361415000503306
0.,4.47,0.3718472947119879
0.,4.48,0.3701403830847967
0.,4.49,0.3684937971910578
0.,4.5,0.3669078931235332
0.,4.51,0.3653830009876225
0.,4.5200000000000005,0.3639194248992671
0.,4.53,0.3625174429932342
0.,4.54,0.3611773074417258
0.,4.55,0.35989924448325405
0.,4.5600000000000005,0.35868345446171923
0.,4.57,0.35753011187562533
0.,4.58,0.3564393654373612
0.,4.59,0.3554113381424747
0.,4.6000000000000005,0.3544461273488624
0.,4.61,0.3535438048657934
0.,4.62,0.3527044170526824
0.,4.63,0.3519279849275241
0.,4.64,0.3512145042848992
0.,4.65,0.3505639458234532
0.,4.66,0.3499762552827551
0.,4.67,0.3494513535894298
0.,4.68,0.3489891370124629
0.,4.69,0.34858947732756834
0.,4.7,0.3482522219905093
0.,4.71,0.34797719431925833
0.,4.72,0.34776419368487765
0.,4.73,0.34761299571100546
0.,4.74,0.34752335248181865
0.,4.75,0.3474949927583528
0.,4.76,0.3475276222030478
0.,4.7700000000000005,0.3476209236123895
0.,4.78,0.34777455715751504
0.,4.79,0.3479881606326449
0.,4.8,0.3482613497112043
0.,4.8100000000000005,0.3485937182094926
0.,4.82,0.34898483835775873
0.,4.83,0.3494342610785377
0.,4.84,0.34994151627209946
0.,4.8500000000000005,0.35050611310886276
0.,4.86,0.35112754032862015
0.,4.87,0.35180526654642374
0.,4.88,0.35253874056497414
0.,4.89,0.3533273916933558
0.,4.9,0.35417063007196153
0.,4.91,0.35506784700344296
0.,4.92,0.3560184152895284
0.,4.93,0.3570216895735406
0.,4.94,0.3580770066884523
0.,4.95,0.3591836860103117
0.,4.96,0.36034102981686966
