"r","t","Fidelity"
0.,3.19,0.5008475614783117
0.,3.2,0.500830778636587
0.,3.21,0.5008143281173941
0.,3.22,0.5007982033403061
0.,3.23,0.5007823978551971
0.,3.24,0.5007669053396623
0.,3.25,0.5007517195964888
0.,3.2600000000000002,0.500736834551177
0.,3.27,0.5007222442495103
0.,3.2800000000000002,0.5007079428551734
0.,3.29,0.5006939246474179
0.,3.3000000000000003,0.5006801840187739
0.,3.31,0.5006667154728067
0.,3.3200000000000003,0.5006535136219182
0.,3.33,0.5006405731851921
0.,3.34,0.5006278889862812
0.,3.35,0.5006154559513367
0.,3.36,0.500603269106979
0.,3.37,0.5005913235783078
0.,3.38,0.5005796145869523
0.,3.39,0.5005681374491598
0.,3.4,0.5005568875739224
0.,3.41,0.5005458604611398
0.,3.42,0.5005350516998198
0.,3.43,0.5005244569663139
0.,3.44,0.5005140720225874
0.,3.45,0.5005038927145242
0.,3.46,0.5004939149702656
0.,3.47,0.5004841347985807
0.,3.48,0.5004745482872704
0.,3.49,0.5004651516016024
0.,3.5,0.5004559409827772
0.,3.5100000000000002,0.5004469127464245
0.,3.52,0.5004380632811292
0.,3.5300000000000002,0.5004293890469872
0.,3.54,0.5004208865741893
0.,3.5500000000000003,0.500412552461633
0.,3.56,0.500404383375562
0.,3.5700000000000003,0.5003963760482333
0.,3.58,0.5003885272766088
0.,3.59,0.5003808339210755
0.,3.6,0.5003732929041883
0.,3.61,0.5003659012094402
0.,3.62,0.5003586558800547
0.,3.63,0.5003515540178033
0.,3.64,0.5003445927818464
0.,3.65,0.5003377693875969
0.,3.66,0.5003310811056061
0.,3.67,0.5003245252604721
0.,3.68,0.5003180992297692
0.,3.69,0.5003118004429997
0.,3.7,0.5003056263805647
0.,3.71,0.5002995745727572
0.,3.72,0.500293642598773
0.,3.73,0.5002878280857437
0.,3.74,0.5002821287077863
0.,3.75,0.5002765421850739
0.,3.7600000000000002,0.5002710662829228
0.,3.77,0.5002656988108991
0.,3.7800000000000002,0.5002604376219425
0.,3.79,0.5002552806115073
